# x u_jacobi
0 30
0.01 29.8915
0.02 29.7719
0.03 29.6739
0.04 29.5424
0.05 29.4543
0.06 29.3105
0.07 29.2315
0.08 29.0748
0.09 29.0044
0.1 28.8343
0.11 28.7716
0.12 28.5877
0.13 28.5323
0.14 28.3343
0.15 28.2854
0.16 28.073
0.17 28.0301
0.18 27.8032
0.19 27.7657
0.2 27.5243
0.21 27.4916
0.22 27.2358
0.23 27.2074
0.24 26.9374
0.25 26.9128
0.26 26.6291
0.27 26.6078
0.28 26.3107
0.29 26.2924
0.3 25.9826
0.31 25.9669
0.32 25.645
0.33 25.6316
0.34 25.2986
0.35 25.2871
0.36 24.944
0.37 24.9341
0.38 24.5819
0.39 24.5734
0.4 24.2134
0.41 24.2059
0.42 23.8395
0.43 23.8329
0.44 23.4613
0.45 23.4553
0.46 23.08
0.47 23.0745
0.48 22.6969
0.49 22.6917
0.5 22.3134
0.51 22.3083
0.52 21.9307
0.53 21.9255
0.54 21.5501
0.55 21.5447
0.56 21.173
0.57 21.1671
0.58 20.8006
0.59 20.7941
0.6 20.4341
0.61 20.4266
0.62 20.0745
0.63 20.0659
0.64 19.7229
0.65 19.7129
0.66 19.38
0.67 19.3684
0.68 19.0466
0.69 19.0331
0.7 18.7233
0.71 18.7076
0.72 18.4105
0.73 18.3922
0.74 18.1084
0.75 18.0872
0.76 17.8172
0.77 17.7926
0.78 17.5369
0.79 17.5084
0.8 17.2671
0.81 17.2343
0.82 17.0075
0.83 16.9699
0.84 16.7575
0.85 16.7146
0.86 16.5166
0.87 16.4677
0.88 16.2838
0.89 16.2284
0.9 16.0582
0.91 15.9956
0.92 15.8389
0.93 15.7685
0.94 15.6246
0.95 15.5457
0.96 15.4142
0.97 15.3261
0.98 15.2065
0.99 15.1085
1 15
